CENTRE NAME,SERVICE CODE,PHONE NUMBER,LATITUDE,LONGITUDE,SERVICE DAY,HALL,CAMPUS,APOSTLE,Apostleship
PENTAGON BLOCK A,TC0022,233094395649,5.6574,-0.1821,WEDNESDAY,PENTAGON 1 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
PENTAGON BLOCK A PRESENCE,TC0062,233862849366,5.657551,-0.182143,WEDNESDAY,PENTAGON 1 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
PENTAGON BLOCK A PROTON,TC0058,233935955434,5.6574,0.1821,THURSDAY,PENTAGON 1 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
PENTAGON BLOCK B,TC0044,233032635103,5.658783,-0.182074,THURSDAY,PENTAGON 2 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
PENTAGON BLOCK B 2,TC0057,233358773950,5.658975,-0.1820889,WEDNESDAY,PENTAGON 2 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
PENTAGON BLOCK C,TC0006,233948478315,5.6584,-0.181,THURSDAY,PENTAGON 2 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
PENTAGON BLOCK C PRESENCE,TC0067,233736892939,5.6584,-0.181,THURSDAY,PENTAGON 2 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
PRESTIGE,TC0016,233110042489,5.6594,-0.1672,THURSDAY,UPSA AYELE GENERAL,UPSA General,Agyeman,Isaac Ofori Agyeman
TEMA NARHBITA CAMPUS,436,233787183598,5.657721,-0.010813,TUESDAY,TEMA NARHBITAÂ,Tema Narh-Bita,Agyeman,Isaac Ofori Agyeman
TF,TC0005,233758958597,5.666528,-0.182037,WEDNESDAY,TF GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
TF 2,TC0059,233389243172,5.666501,-0.18202,WEDNESDAY,TF GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
UPSA AGAPE,TC0012,233152904671,0,0,WEDNESDAY,PENTAGON 2 GENERAL,UPSA General,Agyeman,Isaac Ofori Agyeman
UPSA HOSTEL 1,TC0066,233498646470,5.6591,-0.1714,WEDNESDAY,UPSA HOSTEL GENERAL,UPSA General,Agyeman,Isaac Ofori Agyeman
UPSA HOSTEL 2,TC0065,233211748665,5.6591,-0.1714,THURSDAY,UPSA HOSTEL GENERAL,UPSA General,Agyeman,Isaac Ofori Agyeman
UPSA MB3 HOSTEL,TC0037,233500359020,5.6466,-0.1614,THURSDAY,UPSA HOSTEL GENERAL,UPSA General,Agyeman,Isaac Ofori Agyeman
VOLTA HALL,TC0051,233782725800,5.651712,-0.189331,WEDNESDAY,VOLTA HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
WEBSTER,TC0010,233784473773,5.6385,-0.1659,THURSDAY,WEBSTER,WEBSTER,Agyeman,Isaac Ofori Agyeman
WEST LEGON STARBITES,158,233590513191,5.661907,-0.205653,WEDNESDAY,GIMPA,GIMPA,Agyeman,Isaac Ofori Agyeman
WESTLANDSÂ,TC0034,233492858642,0,0,THURSDAY,WESTLANDS GENERAL,COMMUNITIES GENERAL,Agyeman,Isaac Ofori Agyeman
WISCONSIN WEST LEGON UNION,424,233054767215,0,0,WEDNESDAY,GIMPA,GIMPA,Agyeman,Isaac Ofori Agyeman
ADABRAKA,87,233181163935,5.555041,-0.212975,WEDNESDAY,YOURS AND OURS,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
AIT,207,233772093126,5.5375805,-0.3328266,THURSDAY,AIT CENTRE,AIT,Asamoah,Kwabena Asamoah Jr
AP ACCRA CITY CAMPUS,582,233099450267,5.55786,0.20701,THURSDAY,YMCA HOSTEL,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
AP ADABRAKA ADEPA,581,233595998543,5.556964,0.209535,THURSDAY,EVANDY HOSTEL,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
AP ADABRAKA DK HOSTEL,584,233529285465,5.557719,0.214726,THURSDAY,EVANDY HOSTEL,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
AP ADABRAKA EVANDY,423,233490829287,5.55881,-0.214851,THURSDAY,EVANDY HOSTEL,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
AP ADABRAKA EVANDY OLD HOSTEL,580,233833353520,5.560751,-0.213079,THURSDAY,EVANDY HOSTEL,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
AP ADABRAKA ODORNA,583,233030467508,5.561881,0.213552,THURSDAY,YOURS AND OURS,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
AP AZUMA ADABRAKA,274,233948151677,5.553225,-0.208329,THURSDAY,AZUMA,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
AP ELTONIA,491,233340360767,5.556887,-0.208307,THURSDAY,AZUMA,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
AP GOIL HOSTEL,486,233786913640,5.5542,-0.20985,WEDNESDAY,AZUMA,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
AP NEW HOSTEL 2ND FLOOR,488,233286074561,5.553057,-0.206196,WEDNESDAY,NEW HOSTEL,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
AP NEW HOSTEL GROUND FLOOR,489,233972514157,-5.553057,-0.206196,WEDNESDAY,NEW HOSTEL,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
AP OLD HOSTEL 2ND FLOOR,487,233466172933,5.552648,-0.205167,WEDNESDAY,OLD HOSTEL,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
AP OLD HOSTEL EDEN,485,233276781700,5.553712,-0.20985,WEDNESDAY,OLD HOSTEL,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
AP YMCA,144,233064039740,5.568839,-0.202797,WEDNESDAY,YMCA HOSTEL,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
GHANA TELECOM,45,233589119624,5.5982341,-0.2236972,THURSDAY,MENSFARM,GTUC,Asamoah,Kwabena Asamoah Jr
GTUC DELICIOUS HOSTEL,88,233261804415,5.5961082,-0.2327054,THURSDAY,DELICIOUS HOSTEL,GTUC,Asamoah,Kwabena Asamoah Jr
GTUC PALACE HOSTEL,121,233869996418,5.6024508,-0.2347919,THURSDAY,PALACE HOSTEL,GTUC,Asamoah,Kwabena Asamoah Jr
GTUC TWINKLE HOSTEL,122,233243413903,5.597743,-0.229226,WEDNESDAY,TWINKLE HOSTEL,GTUC,Asamoah,Kwabena Asamoah Jr
KASOA KINGS COLLEGE,270,233551784352,5.5369682,-0.3284227,THURSDAY,KINGS COLLEGE,KINGS UNIVERSITY,Asamoah,Kwabena Asamoah Jr
KB AMPLIFY PROTON,398,233403149519,5.5379483,-0.2316661,THURSDAY,MEDICAL BLOCKS,KORLE-BU,Asamoah,Kwabena Asamoah Jr
KB GLORY,570,233942556385,5.537086,-0.232567,THURSDAY,NURSING SCHOOL,KORLE-BU,Asamoah,Kwabena Asamoah Jr
KB KORLE GONNO BERNADO,511,233887307947,5.53486,-0.231889,THURSDAY,MEDICAL BLOCKS,KORLE-BU,Asamoah,Kwabena Asamoah Jr
KB LATERBIOKORSHIE AYIGBE TOWN,519,233991832910,5.551928,-0.232441,THURSDAY,MEDICAL BLOCKS,KORLE-BU,Asamoah,Kwabena Asamoah Jr
KB SHEMEN,521,233605203715,5.5365978,-0.2318344,THURSDAY,NURSING SCHOOL,KORLE-BU,Asamoah,Kwabena Asamoah Jr
KB TROPICS,520,233001952527,5.5379483,-0.2316661,THURSDAY,SOH HOSTEL,KORLE-BU,Asamoah,Kwabena Asamoah Jr
KORLE BU AMPLIFY,72,233670184032,5.538921,-0.229438,THURSDAY,MEDICAL BLOCKS,KORLE-BU,Asamoah,Kwabena Asamoah Jr
KORLE BU VICTORY,7,233906254619,5.5379483,-0.2316661,WEDNESDAY,VICTORY HOSTEL,KORLE-BU,Asamoah,Kwabena Asamoah Jr
LAPAZ PENTECOST,504,233717783498,5.6222,-0.2735,TUESDAY,VILLAGIO HOSTEL,PENTECOST,Asamoah,Kwabena Asamoah Jr
LAPAZ PENTECOST GLORY,506,233425306755,5.63131,-0.273347,THURSDAY,BBM HOSTEL,PENTECOST,Asamoah,Kwabena Asamoah Jr
METHODIST UNI CENTRE,70,233465827408,5.566548,-0.260722,THURSDAY,ALPHA ROYAL HOSTEL GROUND FLOOR,METHODIST UNIVERSITY,Asamoah,Kwabena Asamoah Jr
TN ACCRA POLY,5,233060130027,5.554725,-0.202664,THURSDAY,OLD HOSTEL,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
AKUAFO,60,233408045681,5.649995,-0.183469,THURSDAY,AKUAFO,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
AKUAFO CENTRAL,114,233132292751,5.649995,-0.183469,WEDNESDAY,AKUAFO,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
AKUAFO NORTH,190,233961906107,5.650334,-0.184794,THURSDAY,AKUAFO,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
AKUAFO OTHERS,427,233592654142,5.647085,-0.185474,THURSDAY,AKUAFO,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
AKUAFO WEST,426,233897606088,5.649995,-0.183469,THURSDAY,AKUAFO,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
ALEX KWAPONG NORTH,194,233788166560,5.637415,-0.184411,WEDNESDAY,KWAPONG,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
COMMONWEALTH,59,233842686984,5.653805,-0.190357,WEDNESDAY,COMMONWEALTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
COMMONWEALTH BUILDER'S CHAPEL,252,233427040077,5.650392,-0.192559,WEDNESDAY,COMMONWEALTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
COMMONWEALTH NORTH,196,233720467273,5.650875,-0.191281,THURSDAY,COMMONWEALTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
ELIZABETH SEY,27,233776316736,5.663104,-0.181578,THURSDAY,ELIZABETH SEY,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
FAMILY HEALTH CENTRE,468,233882766643,0,0,THURSDAY,FAMILY HEALTH,TESHIE FAMILY HEALTH,Baah,Emmanuel Opoku Baah
JEAN NELSON,31,233729449945,5.66314,-0.179665,WEDNESDAY,JEAN NELSON,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
JEAN NELSON POIMANO,547,233281815718,0,0,THURSDAY,JEAN NELSON,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
JEAN NELSON WEST,111,233989338978,0,0,THURSDAY,JEAN NELSON,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
KWAPONG BETHEL,247,233552978682,5.635512,-0.188507,WEDNESDAY,KWAPONG,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
KWAPONG/ISH,25,233259504662,5.636179,-0.187243,THURSDAY,KWAPONG,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
LEGON AKUAFO EAST,539,233740006332,5.649995,-0.183469,WEDNESDAY,AKUAFO,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON CENTRAL,29,233869698915,5.648242,-0.188344,WEDNESDAY,LEGON SOUTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON COMMONWEALTH PARAKLETOS,537,233056939430,5.653805,-0.190357,THURSDAY,COMMONWEALTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON COMMONWEALTH THE LORD'S TEMPLE,541,233915844863,5.65048,-0.192256,WEDNESDAY,COMMONWEALTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON EAST,116,233099891662,5.650796,-0.193486,THURSDAY,LEGON SOUTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON ELIZABETH SEY 3,542,233806891803,5.658645,-0.180808,WEDNESDAY,ELIZABETH SEY,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
LEGON ELIZABETH SEY EAST,108,233287874243,5.637274,-0.186079,WEDNESDAY,ELIZABETH SEY,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
LEGON HALL ANNEX A,197,233484718699,5.649995,-0.183469,WEDNESDAY,LEGON SOUTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON HALL SOUTH,203,233013199103,5.648242,-0.188344,THURSDAY,LEGON SOUTH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON KWAPONG SOUTH,548,233723733749,5.63708,-0.184411,THURSDAY,KWAPONG,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
LEGON LIMANN ALLOS,554,233716841015,5.637415,-0.184411,WEDNESDAY,LIMANN,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
LEGON LIMANN NORTH,115,233700559207,5.637274,-0.186079,WEDNESDAY,LIMANN,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
LEGON LIMANN OIGO,546,233929162378,5.663599,-0.181578,WEDNESDAY,LIMANN,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
LEGON SARBAH ALLOS,545,233911303452,5.645571,-0.187045,WEDNESDAY,SARBAH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON SARBAH ANNEX C MUSTARD SEED,538,233593391119,5.645571,-0.187045,WEDNESDAY,SARBAH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LEGON SARBAH FRUITFUL,540,233342272678,5.645571,-0.187045,THURSDAY,SARBAH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
LIMANN,30,233907041635,5.66314,-0.179665,WEDNESDAY,LIMANN,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
LIMANN EAST,195,233024836102,5.659002,-0.181713,THURSDAY,LIMANN,LEGON DIASPORA,Baah,Emmanuel Opoku Baah
SARBAH,24,233467519931,5.645571,-0.187045,THURSDAY,SARBAH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
SARBAH CENTRAL,198,233573072220,5.645571,-0.187045,THURSDAY,SARBAH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
SARBAH NORTH,235,233654343385,5.647105,-0.187571,WEDNESDAY,SARBAH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
SARBAH SOUTH,109,233075909611,5.645571,-0.187045,TUESDAY,SARBAH,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
TESHIE NMTC CENTRE,13,233337156315,0,0,THURSDAY,TESHIE,TESHIE NMTC,Baah,Emmanuel Opoku Baah
VOLTA,107,233742702306,5.650244,0.190081,THURSDAY,VOLTA,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
VOLTA EAST,199,233264052547,5.650146,-0.189289,THURSDAY,VOLTA,LEGON CENTRAL,Baah,Emmanuel Opoku Baah
ACC ASHESI 1,AC0005,233637280885,5.764295,-0.219321,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACC ASHESI 10,AC0124,233858267717,5.7648471,-0.218341,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACC ASHESI 11,AC0125,233989861294,5.761694,-0.219751,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACC ASHESI 2,AC0006,233411189045,5.8089,-0.3503,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACC ASHESI 3,AC0007,233725554985,5.759843,-0.220176,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACC ASHESI 4,AC0008,233231730657,5.45359,-0.1307,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACC ASHESI 5,AC0009,233246268516,5.757939,-0.220131,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACC ASHESI 6,AC0120,233979208488,5.758093,-0.221063,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACC ASHESI 7,AC0121,233827164825,5.753933,-0.209057,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACC ASHESI 8,AC0122,233173677635,5.762838,-0.219334,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACC ASHESI 9,AC0123,233331058189,5.762838,-0.219334,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACCE,41,233428215785,5.6584395,-0.1613319,FRIDAY,UPSA,ACCE,Baidoo,Paul Baidoo
ASHESI,32,233458449814,5.7595,-0.2198,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
GIJ,46,233558532974,0,0,THURSDAY,GIJ,GIJ/NAFTI,Baidoo,Paul Baidoo
MADINA ESTATES,82,233359141057,5.666058,-0.165845,WEDNESDAY,UPSA,UPSA RAWLINGS CIRCLE,Baidoo,Paul Baidoo
PANTANG,39,233649740266,0,0,THURSDAY,PANTANG NTC,PANTANG NTC,Baidoo,Paul Baidoo
PANTANG AMOAH HOSTEL,383,233159548089,0,0,THURSDAY,PANTANG NTC,PANTANG NTC,Baidoo,Paul Baidoo
PANTANG NIGHTINGALE,450,233514096149,0,0,THURSDAY,PANTANG NTC,PANTANG NTC,Baidoo,Paul Baidoo
PANTANG PRINCE JEFF,260,233506021587,0,0,THURSDAY,PANTANG NTC,PANTANG NTC,Baidoo,Paul Baidoo
UPSA (AGAPE),54,233410347414,5.671415,-0.1686381,THURSDAY,UPSA,UPSA AGAPE,Baidoo,Paul Baidoo
UPSA (AYELE),42,233524626836,5.658438,-0.164555,THURSDAY,UPSA,UPSA AYELE,Baidoo,Paul Baidoo
UPSA (HOSTEL),53,233450937139,5.6589,-0.1714,FRIDAY,UPSA,UPSA HOSTEL,Baidoo,Paul Baidoo
UPSA AGAPE FOUNTAIN COURT,474,233542548534,5.663203,-0.163663,THURSDAY,UPSA,UPSA AGAPE,Baidoo,Paul Baidoo
UPSA AYELE EAST,254,233690180585,5.658438,-0.164555,THURSDAY,UPSA,UPSA AYELE,Baidoo,Paul Baidoo
UPSA AYELE NORTH,164,233449603217,5.662822,-0.162567,THURSDAY,UPSA,UPSA AYELE,Baidoo,Paul Baidoo
UPSA AYELE PRESTIGE,290,233891991452,5.6594283,-0.1692487,WEDNESDAY,UPSA,UPSA PRESTIGE,Baidoo,Paul Baidoo
UPSA AYELE WEST,414,233659797978,5.663619,-0.167511,THURSDAY,UPSA,UPSA AYELE,Baidoo,Paul Baidoo
UPSA AYELE YELLOW HOSTEL,283,233258141299,5.658438,-0.164555,THURSDAY,UPSA,UPSA AYELE,Baidoo,Paul Baidoo
UPSA AYELEY DOWN,473,233247385041,5.658438,-0.164555,THURSDAY,UPSA,UPSA AYELE,Baidoo,Paul Baidoo
UPSA AYELEY LISTER HOTEL,416,233501297619,5.674556,-0.161506,THURSDAY,UPSA,UPSA AYELE,Baidoo,Paul Baidoo
UPSA FIRESTONE MELCOM,410,233981074108,5.6785993,-0.1722837,THURSDAY,UPSA,UPSA FIRESTONE,Baidoo,Paul Baidoo
UPSA FREEMAN HOSTEL,93,233662532172,5.667753,-0.169285,WEDNESDAY,UPSA,UPSA FREEMAN,Baidoo,Paul Baidoo
UPSA FRUITFUL,161,233856999812,5.659692,-0.164996,THURSDAY,UPSA,UPSA AGAPE,Baidoo,Paul Baidoo
UPSA GERMAN HOSTEL,255,233736154516,5.663203,-0.1636632,THURSDAY,UPSA,UPSA AGAPE,Baidoo,Paul Baidoo
UPSA HOSTEL 1,238,233347672301,5.6589,-0.1714,THURSDAY,UPSA,UPSA HOSTEL,Baidoo,Paul Baidoo
UPSA HOSTEL 2,240,233428250963,5.6589,-0.1714,WEDNESDAY,UPSA,UPSA HOSTEL,Baidoo,Paul Baidoo
UPSA HOSTEL 3,408,233881025211,5.6589,-0.1714,THURSDAY,UPSA,UPSA HOSTEL,Baidoo,Paul Baidoo
UPSA HOSTEL LEGON VILLA,363,233063601415,5.6589,-0.1714,THURSDAY,UPSA,UPSA HOSTEL,Baidoo,Paul Baidoo
UPSA MADINA ESTATE QUEEN OF PEACE,377,233587191847,5.6752714,-0.1635933,THURSDAY,UPSA,UPSA RAWLINGS CIRCLE,Baidoo,Paul Baidoo
UPSA MADINA FIRESTONE SEED HOUSE,362,233023928403,5.6682483,-0.1722246,WEDNESDAY,UPSA,UPSA FIRESTONE,Baidoo,Paul Baidoo
UPSA NEW MARKET,96,233119936103,5.674556,-0.161506,THURSDAY,UPSA,UPSA FREEMAN,Baidoo,Paul Baidoo
UPSA ON CAMPUS,92,233032521741,5.6617402,-0.1658047,THURSDAY,UPSA,UPSA PRESTIGE,Baidoo,Paul Baidoo
UPSA SERVANTS,546,233611140628,5.660336,0,WEDNESDAY,UPSA,UPSA PRESTIGE,Baidoo,Paul Baidoo
VVU CAMPUS - NASDAG HALL,213,233397253949,5.7991356,-0.1207897,THURSDAY,VALLEY VIEW CAMPUS,VALLEY VIEW UNIVERSITY,Baidoo,Paul Baidoo
VVU CAMPUS -E.G WHITE HALL,211,233039168551,5.7993373,-0.1260682,THURSDAY,VALLEY VIEW CAMPUS,VALLEY VIEW UNIVERSITY,Baidoo,Paul Baidoo
VVU CAMPUS BEDIAKO HALL,212,233443510688,5.7991356,-0.1207897,THURSDAY,VALLEY VIEW CAMPUS,VALLEY VIEW UNIVERSITY,Baidoo,Paul Baidoo
VVU CAMPUS J. J NORTEY,210,233535663176,5.7987118,-0.1199208,THURSDAY,VALLEY VIEW CAMPUS,VALLEY VIEW UNIVERSITY,Baidoo,Paul Baidoo
