CENTRE NAME,SERVICE CODE,PHONE NUMBER,LATITUDE,LONGITUDE,SERVICE DAY,COMMUNITY,TOWN,APOSTLE,Apostleship
ACC GYANKAMA 8,AC0109,233994779000,5.8180293,-0.1880792,THURSDAY,KWAMOSO,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC KITASE 1,AC0069,233610763973,5.8138,-0.883,THURSDAY,KITASE,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC KITASE 2,AC0070,233552608740,5.814,0.1864,THURSDAY,MAMFE,MAMPONG,Amartey,Emmanuel Amartey
ACC KITASE 3,AC0071,233715744750,5.814,-0.1864,THURSDAY,KWAMOSO,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC KITASE 4,AC0072,233098919020,5.814,-0.1846,THURSDAY,TUTU,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC KWAMOSO 1,AC0111,233467592183,5.958477,-0.131001,THURSDAY,AKROPONG,AMANOKROM,Amartey,Emmanuel Amartey
ACC KWAMOSO 3,AC0117,233109005802,5.957409,-0.147305,THURSDAY,KITASE,AMANOKROM,Amartey,Emmanuel Amartey
ACC KWAMOSO 4,AC0113,233474373649,5.958421,-0.146067,THURSDAY,MAMPONG,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC KWAMOSO 5,AC0114,233502079670,5.953926,-0.160546,THURSDAY,GYANKAMA,MAMPONG,Amartey,Emmanuel Amartey
ACC KWAMOSO 6,AC0115,233358223691,5.954424,-0.161501,THURSDAY,AHWRASE,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC KWAMOSO 7,AC0116,233055506010,5.9555,-0.1769,THURSDAY,PEDUASE,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC MAMFE 1,AC0045,233850538038,5.94254,-0.117525,THURSDAY,AHWRASE,MAMPONG,Amartey,Emmanuel Amartey
ACC MAMFE 2,AC0046,233977934567,5.9408,-0.11326,THURSDAY,PEDUASE,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC MAMFE 3,AC0047,233274786606,0,-0.11244,THURSDAY,KITASE,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC MAMFE 4,AC0048,233890979648,5.9379384,-0.1153269,THURSDAY,MAMFE,AMANOKROM,Amartey,Emmanuel Amartey
ACC MAMFE 5,AC0049,233527028477,0,0,THURSDAY,KWAMOSO,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC MAMFE 6,AC0050,233419560755,5.772469,-0.008857,THURSDAY,TUTU,MAMPONG,Amartey,Emmanuel Amartey
ACC MAMFE 7,AC0051,233102577725,5.56188,-0.06567,THURSDAY,ABURI,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC MAMFE 8,AC0052,233997925760,5.9382,-0.115512,THURSDAY,AMANOKROM,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC MAMPONG 1,AC0019,233626635985,5.913648,-0.142189,THURSDAY,AMANOKROM,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC MAMPONG 10,AC0028,233961843907,5.876,-0.1564,THURSDAY,TUTU,AMANOKROM,Amartey,Emmanuel Amartey
ACC MAMPONG 11,AC0029,233976162105,5.91237,-0.138052,THURSDAY,ABURI,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC MAMPONG 12,AC0030,233712839027,5.905982,-0.144067,THURSDAY,AMANOKROM,MAMPONG,Amartey,Emmanuel Amartey
ACC MAMPONG 13,AC0031,233617683490,5.92044,-0.134046,THURSDAY,AKROPONG,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC MAMPONG 14,AC0032,233355642180,5.9161602,-1381468,THURSDAY,MAMPONG,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC MAMPONG 15,AC0033,233279975479,5.910809,-0.141479,THURSDAY,GYANKAMA,AMANOKROM,Amartey,Emmanuel Amartey
ACC MAMPONG 16,AC0034,233504352737,5.911747,-0.14202,THURSDAY,AHWRASE,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC MAMPONG 2,AC0020,233172434625,5.904783,-0.14865,THURSDAY,AKROPONG,MAMPONG,Amartey,Emmanuel Amartey
ACC MAMPONG 3,AC0021,233738256428,5.914065,-0.144549,THURSDAY,MAMPONG,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC MAMPONG 4,AC0022,233159420441,6.974483,-0.1272533,THURSDAY,GYANKAMA,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC MAMPONG 5,AC0023,233222245958,5.912108,-0.1399694,THURSDAY,AHWRASE,AMANOKROM,Amartey,Emmanuel Amartey
ACC MAMPONG 6,AC0024,233133610874,5.91256,-0.142313,THURSDAY,PEDUASE,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC MAMPONG 7,AC0025,233839887416,5.904783,-0.14413,THURSDAY,KITASE,MAMPONG,Amartey,Emmanuel Amartey
ACC MAMPONG 8,AC0026,233468359956,5.9151,-0.1394,THURSDAY,MAMFE,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC MAMPONG 9,AC0027,233672903279,5.918666,-0.137945,THURSDAY,KWAMOSO,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC PEDUASE 1,AC0085,233014188165,5.8065,-0.1847,THURSDAY,AMANOKROM,MAMPONG,Amartey,Emmanuel Amartey
ACC PEDUASE 2,AC0086,233207362112,5.8065,-0.1847,THURSDAY,AKROPONG,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC PEDUASE 3,AC0087,233998137726,5.8065,-0.1847,THURSDAY,MAMPONG,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC PEDUASE 4,AC0088,233874553561,5.808281,-0.183798,THURSDAY,GYANKAMA,AMANOKROM,Amartey,Emmanuel Amartey
ACC TUTU 1,AC0053,233957638865,5.89477,-0.15076,THURSDAY,AKROPONG,AMANOKROM,Amartey,Emmanuel Amartey
ACC TUTU 10,AC0062,233698847227,5.892157,-0.153834,THURSDAY,ABURI,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC TUTU 11,AC0063,233020860441,5.8938133,-0.1563234,THURSDAY,AMANOKROM,AMANOKROM,Amartey,Emmanuel Amartey
ACC TUTU 12,AC0064,233088185936,5.891082,-0.153821,THURSDAY,AKROPONG,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC TUTU 13,AC0065,233478456608,5.890261,0.153836,THURSDAY,MAMPONG,MAMPONG,Amartey,Emmanuel Amartey
ACC TUTU 14,AC0066,233438248527,5.53577,-0.08569,THURSDAY,GYANKAMA,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC TUTU 15,AC0067,233166407577,5.894063,-0.149613,THURSDAY,AHWRASE,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC TUTU 16,AC0068,233613120662,5.894734,-0.155172,THURSDAY,PEDUASE,AMANOKROM,Amartey,Emmanuel Amartey
ACC TUTU 2,AC0054,233714863098,5.892106,-0.151687,THURSDAY,MAMPONG,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC TUTU 3,AC0055,233157474181,5.88983,-0.153726,THURSDAY,GYANKAMA,MAMPONG,Amartey,Emmanuel Amartey
ACC TUTU 4,AC0056,233405199523,5.889584,-0.153057,THURSDAY,AHWRASE,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ACC TUTU 5,AC0057,233829130432,5.8894877,-0.153529,THURSDAY,PEDUASE,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
ACC TUTU 6,AC0058,233428136290,5.892098,-0.151937,THURSDAY,KITASE,AMANOKROM,Amartey,Emmanuel Amartey
ACC TUTU 7,AC0059,233863513960,5.893342,-0.155286,THURSDAY,MAMFE,AKROPONG/ MAMFE/ KWAMOSO,Amartey,Emmanuel Amartey
ACC TUTU 8,AC0060,233980469525,5.53226,-0.09114,THURSDAY,KWAMOSO,MAMPONG,Amartey,Emmanuel Amartey
ACC TUTU 9,AC0061,233702358486,5.8925641,-0.1518877,THURSDAY,TUTU,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ASHESI,32,233314961313,5.7595,-0.2198,THURSDAY,TUTU,MAMPONG,Amartey,Emmanuel Amartey
ASHESI BEREKUSU,127,233316444176,5.758488,-0.226687,THURSDAY,ABURI,TUTU/ GYANKAMA/ AHWRASE,Amartey,Emmanuel Amartey
ASHESI COMET,128,233367800608,5.727989,-0.241437,THURSDAY,AMANOKROM,ABURI/ PEDUASE / KITASE,Amartey,Emmanuel Amartey
OYARIFA AYI MENSAH,494,233481357654,5.7851578,-0.1821183,THURSDAY,OYARIFA MR SMITH,OYARIFA,Azura,Peter Azura
OYARIFA GHANA FLAG,497,233322838731,5.767582,-0.176626,THURSDAY,GHANA FLAG,OYARIFA,Azura,Peter Azura
OYARIFA MR SMITH,496,233284016981,5.745259,-0.187946,THURSDAY,MADINA,OYARIFA,Azura,Peter Azura
OYARIFA PENFIELD,372,233598379856,5.726028,-0.200194,THURSDAY,MADINA,OYARIFA,Azura,Peter Azura
OYARIFA SALEM,373,233481657062,5.7450998,-0.1762466,THURSDAY,GHANA FLAG,OYARIFA,Azura,Peter Azura
OYARIFA TEIMAN,371,233091157103,5.7181,-0.1881,FRIDAY,OYARIFA MR SMITH,OYARIFA,Azura,Peter Azura
PANTANG ABOKOBI,262,233508974900,5.733,-0.2,THURSDAY,PANTANG,ABOKOBI,Azura,Peter Azura
PANTANG ABOKOBI CALVARY,462,233132340504,5.7589,-0.1739,THURSDAY,DANFA,ABOKOBI,Azura,Peter Azura
PANTANG ABOKOBI PARAKU,472,233985513467,0,0,THURSDAY,ABOKOBI,ABOKOBI,Azura,Peter Azura
PANTANG ADENTA FIRST FRUIT,365,233103454304,5.7142,-0.1542,THURSDAY,DANFA,ABOKOBI,Azura,Peter Azura
PANTANG DANFA ALHAJI,265,233873982346,5.7921,-0.16622,THURSDAY,ABOKOBI,ABOKOBI,Azura,Peter Azura
PANTANG DANFA MEGA,261,233593146560,5.7921,-0.1622,THURSDAY,ABOKOBI,ABOKOBI,Azura,Peter Azura
PANTANG DANFA TRINITY,366,233038787828,0,0,THURSDAY,ABOKOBI,ABOKOBI,Azura,Peter Azura
PANTANG MEGA CENTRE,384,233054824856,0,0,THURSDAY,PANTANG,ABOKOBI,Azura,Peter Azura
PANTANG OYARIFA,267,233946122692,5.7556,-0.1739,THURSDAY,PANTANG,ABOKOBI,Azura,Peter Azura
PANTANG OYARIFA EPHRAIM,263,233377237485,5.7589,-0.1612,THURSDAY,DANFA,ABOKOBI,Azura,Peter Azura
PANTANG TEIMAN,461,233326888560,5.75,-0.1834,WEDNESDAY,PANTANG,ABOKOBI,Azura,Peter Azura
PANTANG TOWNSHIP,166,233637542270,0,0,THURSDAY,DANFA,ABOKOBI,Azura,Peter Azura
PANTANG VILLAGE,266,233666274342,0,0,WEDNESDAY,DANFA,ABOKOBI,Azura,Peter Azura
KOTOBABAI ABELEMPKE,355,233840175070,5.6063,-0.2081,THURSDAY,RIDGE_NIMA COMMUNITY,RIDGE,Dwimoh,Paul Dwimoh
KOTOBABI ALAJO DOWN,330,233209808910,5.5958,-0.2174,FRIDAY,RIDGE_ALAJO COMMUNITY,RIDGE,Dwimoh,Paul Dwimoh
KOTOBABI COCHM,458,233829344427,5.595747,-0.2030849,WEDNESDAY,RIDGE_ALAJO COMMUNITY,RIDGE,Dwimoh,Paul Dwimoh
KOTOBABI KOKOMLEMLE,325,233557431754,5.5748,-0.2081,THURSDAY,RIDGE_ALAJO COMMUNITY,RIDGE,Dwimoh,Paul Dwimoh
KOTOBABI MAMOBI,228,233210420980,5.5945,-0.1975,THURSDAY,RIDGE_ALAJO COMMUNITY,RIDGE,Dwimoh,Paul Dwimoh
KOTOBABI NEWTOWN,258,233363704236,5.5853,-0.2127,THURSDAY,RIDGE_NIMA COMMUNITY,RIDGE,Dwimoh,Paul Dwimoh
KOTOBABI NIMA,326,233720093813,5.5833,-0.2,THURSDAY,RIDGE_NIMA COMMUNITY,RIDGE,Dwimoh,Paul Dwimoh
KOTOBABI PIGFARM,150,233557781918,5.5991,-0.1997,THURSDAY,RIDGE_KOTOBABI COMMUNITY,RIDGE,Dwimoh,Paul Dwimoh
OSU ANOINTING,223,233488341049,5.555589,-0.185752,WEDNESDAY,OSU_LA COMMUNITY,OSU,Dwimoh,Paul Dwimoh
OSU BREAKTHROUGH,352,233128141189,5.558828,-0.18665,THURSDAY,OSU_37 COMMUNITY,OSU,Dwimoh,Paul Dwimoh
OSU CENTRE,71,233754754797,0,0,THURSDAY,OSU_LA COMMUNITY,OSU,Dwimoh,Paul Dwimoh
TN KOTOBABI,10,233532956674,5.5998,-0.2045,THURSDAY,RIDGE_KOTOBABI COMMUNITY,RIDGE,Dwimoh,Paul Dwimoh
ZENITH,44,233310206704,5.596477,-0.1520517,THURSDAY,OSU_LA COMMUNITY,OSU,Dwimoh,Paul Dwimoh
ZENITH 37,333,233237852561,5.5985138,-0.1779488,THURSDAY,OSU_COMMUNITY,OSU,Dwimoh,Paul Dwimoh
ZENITH BURMA CAMP SHEMEN,412,233686981012,5.596477,-0.149363,WEDNESDAY,OSU_37 COMMUNITY,OSU,Dwimoh,Paul Dwimoh
ZENITH LABADI,354,233866034802,5.5576953,-0.1565981,THURSDAY,OSU_COMMUNITY,OSU,Dwimoh,Paul Dwimoh
ZENITH TSE ADDO AMPLIFY,246,233241442489,0,0,FRIDAY,OSU_COMMUNITY,OSU,Dwimoh,Paul Dwimoh
ZENITH ZOE,323,233988316167,5.570528,-0.1565981,WEDNESDAY,OSU_37 COMMUNITY,OSU,Dwimoh,Paul Dwimoh
ACHIMOTA,156,233387015752,5.622297,-0.242599,THURSDAY,OFANKOR 2,OFANKOR,Kumatey,Maxwell Kumatey
ASHESI ACP,448,233756343112,0,0,THURSDAY,KWABENYA,KWABENYA,Kumatey,Maxwell Kumatey
ASHESI COMET WEST,236,233738259220,0,0,THURSDAY,KWABENYA,KWABENYA,Kumatey,Maxwell Kumatey
ASHESI MUSUKU,205,233692805492,0,0,THURSDAY,KWABENYA,KWABENYA,Kumatey,Maxwell Kumatey
ASHONGMAN,79,233834650153,0,0,THURSDAY,KWABENYA,KWABENYA,Kumatey,Maxwell Kumatey
DOME ST JOHNS,313,233482090251,5.639402,-0.2426,THURSDAY,DOME 2,DOME,Kumatey,Maxwell Kumatey
HAATSO ATOMIC DOWN,338,233646822388,0,0,FRIDAY,HAATSO 2,HAATSO,Kumatey,Maxwell Kumatey
KISSEMAN,153,233053402845,5.636518,-0.215682,THURSDAY,DOME,DOME,Kumatey,Maxwell Kumatey
KWABENYA POINT 2,361,233172672089,0,0,SATURDAY,KWABENYA,KWABENYA,Kumatey,Maxwell Kumatey
MADINA AREA,TC0019,233956767511,0,0,WEDNESDAY,MADINA 5,MADINA,Kumatey,Maxwell Kumatey
MADINA LA NKWANTANANG,148,233205754842,5.678671,-0.171237,FRIDAY,MADINA 4,MADINA,Kumatey,Maxwell Kumatey
MADINA LIBYA QUARTERS,149,233538129813,5.677784,-0.181094,WEDNESDAY,MADINA 4,MADINA,Kumatey,Maxwell Kumatey
MADINA POWERLAND,147,233706682943,5.686794,-0.17832,WEDNESDAY,MADINA 5,MADINA,Kumatey,Maxwell Kumatey
MADINA RITZ,225,233477104362,5.687006,-0.171164,THURSDAY,MADINA 3,MADINA,Kumatey,Maxwell Kumatey
MADINA TRUST,226,233721888497,5.680441,-0.18207,THURSDAY,MADINA 2,MADINA,Kumatey,Maxwell Kumatey
MADINA UN,146,233915214476,5.680361,-0.182182,THURSDAY,MADINA 2,MADINA,Kumatey,Maxwell Kumatey
OFANKOR RAILWAYS,579,233474730686,0,0,THURSDAY,OFANKOR,OFANKOR,Kumatey,Maxwell Kumatey
PARAKOU ESTATES,202,233511542052,5.639983,-0.225383,THURSDAY,DOME,DOME,Kumatey,Maxwell Kumatey
Pillar 2,56,233294311769,5.653777,-0.218205,THURSDAY,DOME 2,DOME,Kumatey,Maxwell Kumatey
TAIFA,157,233415776497,0,0,THURSDAY,OFANKOR 2,OFANKOR,Kumatey,Maxwell Kumatey
TN AMASAMAN,8,233493366223,0,0,WEDNESDAY,POKUASE,POKUASE,Kumatey,Maxwell Kumatey
TN HAATSO,3,233001468340,5.675226,-0.202442,THURSDAY,HAATSO,HAATSO,Kumatey,Maxwell Kumatey
TN KWABENYA,57,233267766259,0,0,TUESDAY,KWABENYA,KWABENYA,Kumatey,Maxwell Kumatey
TN MADINA REDCO,80,233594548020,5.684539,-0.176499,WEDNESDAY,MADINA 2,MADINA,Kumatey,Maxwell Kumatey
TN OFANKOR,9,233179414277,5.658282,-0.269125,THURSDAY,OFANKOR,OFANKOR,Kumatey,Maxwell Kumatey
TN WESTLANDS REHOBOTH,51,233093026690,5.647222,-0.210118,WEDNESDAY,WESTLANDS,WESTLANDS,Kumatey,Maxwell Kumatey
WEST LEGON PHARMACY,337,233138314785,0,0,THURSDAY,WESTLANDS,WESTLANDS,Kumatey,Maxwell Kumatey
WEST LEGON SOBER,271,233806429402,5.645081,-0.214692,THURSDAY,WESTLANDS 3,WESTLANDS,Kumatey,Maxwell Kumatey
WISCONSIN ADENTA NEWSITE,577,233229782810,5.645081,-0.214692,FRIDAY,ASHONGMAN,AGBOGBA-ASHONGMAN,Kumatey,Maxwell Kumatey
WISCONSIN AGBOGBA BETHEL,269,233602654666,5.687108,-0.194011,THURSDAY,ASHONGMAN,AGBOGBA-ASHONGMAN,Kumatey,Maxwell Kumatey
WISCONSIN AGBOGBA SUNCITY,268,233582983157,5.687108,-0.194011,THURSDAY,ASHONGMAN,AGBOGBA-ASHONGMAN,Kumatey,Maxwell Kumatey
WISCONSIN BOHYE,287,233608990122,5.684671,-0.210375,FRIDAY,WESTLANDS,WESTLANDS,Kumatey,Maxwell Kumatey
WISCONSIN DOME BORN AGAIN,422,233741377003,0,0,THURSDAY,DOME,DOME,Kumatey,Maxwell Kumatey
WISCONSIN ECOMOG,322,233621216642,0,0,THURSDAY,HAATSO,HAATSO,Kumatey,Maxwell Kumatey
WISCONSIN HAATSO PAPAO,286,233950051608,5.663304,-0.202618,THURSDAY,OFANKOR,HAATSO,Kumatey,Maxwell Kumatey
