Community,Name Of Town,Whatsapp Number,Town
LAPAZ SOUTH,LAPAZ,233992724060,LAPAZ
LAPAZ SOUTHEAST,LAPAZ,233227794504,LAPAZ
LAPAZ TABORA,LAPAZ,233646309687,LAPAZ
LATERBIOKOSHIE,BRITISH ACCRA,233870351651,BRITISH ACCRA
MADINA,OYARIFA,233284016981,OYARIFA
MADINA 2,MADINA,233721888497,MADINA
MADINA 3,MADINA,233477104362,MADINA
MADINA 4,MADINA,233205754842,MADINA
MADINA 5,MADINA,233956767511,MADINA
MADINA 6,MADINA,233760138799,MADINA
MADINA ESTATE,MADINA TOWNSHIP,233338669846,MADINA TOWNSHIP
MADINA FIRESTONE,MADINA TOWNSHIP,233003094572,MADINA TOWNSHIP
MAMFE,MAMPONG,233427914500,MAMPONG
MAMPONG,MAMPONG,233779658326,MAMPONG
MEMPEASEM,EAST LEGON,233490478101,EAST LEGON
NEW GBAWE,GBAWE,233712509229,GBAWE
NEW SITE,ADENTA,233437716980,ADENTA
NORTH-KANESHIE EAST,NORTH KANESHIE,233981785161,NORTH KANESHIE
NORTH-KANESHIE NORTH,NORTH KANESHIE,233834758409,NORTH KANESHIE
NORTH-KANESHIE SOUTH,NORTH KANESHIE,233221241205,NORTH KANESHIE
NORTH-KANESHIE WEST,NORTH KANESHIE,233051732098,NORTH KANESHIE
NYANYANYO,KASOA,233357743381,KASOA
ODORKOR,ODORKOR,233357850184,ODORKOR
OFANKOR,OFANKOR,233474730686,OFANKOR
OFANKOR 2,OFANKOR,233387015752,OFANKOR
OGBOJO,MADINA TOWNSHIP,233761884884,MADINA TOWNSHIP
OKPONGLO,EAST LEGON,233481954305,EAST LEGON
OSU_37 COMMUNITY,OSU,233128141189,OSU
OSU_COMMUNITY,OSU,233237852561,OSU
OSU_LA COMMUNITY,OSU,233488341049,OSU
OYARIFA MR SMITH,OYARIFA,233481357654,OYARIFA
OYIBI,ADENTA,233530955808,ADENTA
PALACE,TESHIE/SPINTEX,233253192637,TESHIE/SPINTEX
PANTANG,ABOKOBI,233508974900,ABOKOBI
PEDUASE,AMANOKROM,233353732948,AMANOKROM
POKUASE,POKUASE,233493366223,POKUASE
RIDGE_ALAJO COMMUNITY,RIDGE,233209808910,RIDGE
RIDGE_KOTOBABI COMMUNITY,RIDGE,233557781918,RIDGE
RIDGE_NIMA COMMUNITY,RIDGE,233840175070,RIDGE
RITZ JUNCTION,ADENTA,233664545130,ADENTA
SAKI,SAKI/DAWHENYA,233830733507,SAKI/DAWHENYA
SAKUMONO,TESHIE/SPINTEX,233275787419,TESHIE/SPINTEX
SHIASHIE,EAST LEGON,233505342706,EAST LEGON
SOCIAL WELFARE,MADINA TOWNSHIP,233480607347,MADINA TOWNSHIP
SPINTEX,TESHIE/SPINTEX,233265840393,TESHIE/SPINTEX
TEMA,TEMA/ASHAIMAN,233671792948,TEMA/ASHAIMAN
TN KASOA,KASOA,233974459509,KASOA
TUTU,ABURI/ PEDUASE / KITASE,233837344861,ABURI/ PEDUASE / KITASE
VERONY,EAST LEGON,233754712459,EAST LEGON
WEIJA,KASOA,233402739489,KASOA
WESTLANDS,WESTLANDS,233093026690,WESTLANDS
WESTLANDS 3,WESTLANDS,233806429402,WESTLANDS
